time,absoluteSensor2.r[2],absoluteSensor.r[2]
0,1,0
0.6,0.999997288,0.004041656
1.2,0.999989024,0.016039405
1.8,0.999975014,0.03579806
2.4,0.999954891,0.062949868
3,0.999928328,0.097168272
3.6,0.999894898,0.138024068
4.2,0.999853862,0.184776761
4.8,0.999804875,0.237082245
5.4,0.999747155,0.294154957
6,0.999679757,0.355049378
6.6,0.999601889,0.418971238
7.2,0.999512627,0.484993872
7.8,0.999411069,0.552213084
8.4,0.999296188,0.619600467
9,0.999167056,0.686223323
9.6,0.99902268,0.751087012
10.2,0.998862136,0.813264006
10.8,0.99868453,0.871857209
11.4,0.998489006,0.926006776
12,0.998274804,0.974949472
12.6,0.998041161,1.017919068
13.2,0.997787504,1.054338301
13.8,0.997513272,1.083641941
14.4,0.997218061,1.105420799
15,0.996901544,1.119345817
15.6,0.99656353,1.125219535
16.2,0.996203932,1.122950714
16.8,0.995822788,1.112572916
17.4,0.995420238,1.094221148
18,0.994996539,1.068146616
18.6,0.994552061,1.034714793
19.2,0.994087288,0.994403806
19.8,0.993602734,0.947721667
20.4,0.993099076,0.895341166
21,0.992577098,0.838039707
21.6,0.99203768,0.776690437
22.2,0.991481448,0.711913186
22.8,0.990909476,0.644776989
23.4,0.990322836,0.576346779
24,0.989722657,0.507743366
24.6,0.989109406,0.439428499
25.2,0.988484473,0.37278501
25.8,0.987849006,0.308953256
26.4,0.987203795,0.248715594
27,0.986549463,0.192686859
27.6,0.985887213,0.142063441
28.2,0.98521779,0.097581321
28.8,0.984541423,0.059461398
29.4,0.98385897,0.028554466
30,0.983170944,0.005362662
30.6,0.982477426,-0.010039677
31.2,0.981778814,-0.017264983
31.8,0.981075229,-0.016201824
32.4,0.980366541,-0.006989503
33,0.979652688,0.010301869
33.6,0.978933439,0.035428808
34.2,0.978208445,0.06803358
34.8,0.977477249,0.107648737
35.4,0.976739303,0.15371534
36,0.975993953,0.20556929
36.6,0.97524042,0.262420132
37.2,0.974477875,0.323427787
37.8,0.973705636,0.387898667
38.4,0.972922646,0.454764076
39,0.972127862,0.522970314
39.6,0.971320485,0.591705505
40.2,0.970499432,0.659874779
40.8,0.969663549,0.726310906
41.4,0.968811934,0.790101212
42,0.967943955,0.850599686
42.6,0.967058436,0.90661767
43.2,0.966154416,0.957182626
43.8,0.965231626,1.00201103
44.4,0.964289099,1.040122101
45,0.963326144,1.070813367
45.6,0.962342776,1.094084318
46.2,0.961338465,1.109392469
46.8,0.960312952,1.116465621
47.4,0.959266167,1.115217485
48,0.95819806,1.10558599
48.6,0.957108696,1.087621237
49.2,0.955998458,1.061692151
49.8,0.954867695,1.028132567
50.4,0.953716882,0.987402613
51,0.952546562,0.940030993
51.6,0.951357432,0.88669992
52.2,0.95015031,0.828211727
52.8,0.94892597,0.765326114
53.4,0.947685349,0.698962716
54,0.946429514,0.630175035
54.6,0.945159434,0.559915509
55.2,0.943876147,0.489205237
55.8,0.9425808,0.419176599
56.4,0.941274359,0.350779331
57,0.939957743,0.284914767
57.6,0.938631921,0.222536322
58.2,0.937297861,0.164594431
58.8,0.935956512,0.112022072
59.4,0.934608656,0.065583345
60,0.933254931,0.025898408
60.6,0.93189578,-0.006605963
61.2,0.930531629,-0.031523037
61.8,0.929162871,-0.048476672
62.4,0.927789968,-0.057024054
63,0.926413,-0.05710287
63.6,0.925031953,-0.048745121
64.2,0.923646543,-0.032254848
64.8,0.922256483,-0.007937419
65.4,0.920861392,0.023806528
66,0.919461053,0.062740768
66.6,0.918054805,0.108184466
67.2,0.916642018,0.159488569
67.8,0.915221992,0.215932769
68.4,0.913793939,0.276708966
69,0.912357005,0.340942484
69.6,0.910910269,0.40769124
70.2,0.909452751,0.475956673
70.8,0.907983459,0.544723328
